,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
146012,1413176117,0a13513b-887c-37a0-a237-72fe97c6c68f,-14.652,-44.261,2020-01-19 16:35:00,Brasil,MINAS GERAIS,MANGA,Cerrado,2020,1,19
146036,1413164874,05e1cfa8-7cf3-3a27-8cb1-3062b3d34e04,3.799,-59.909,2020-01-18 17:35:00,Brasil,RORAIMA,NORMANDIA,Amazônia,2020,1,18
146040,1413164539,8f9679d2-a715-3d37-89a0-af2a60057837,-7.991,-37.554,2020-01-18 15:55:00,Brasil,PERNAMBUCO,CUSTÓDIA,Caatinga,2020,1,18
146042,1413164542,03e4beb0-a52a-33ca-a347-d5810f0ad975,-15.067,-39.02,2020-01-18 15:55:00,Brasil,BAHIA,ILHÉUS,Mata Atlântica,2020,1,18
146046,1413164888,c9704f46-ac5c-35f1-bc78-7d9bd37f3c63,-10.639,-61.159,2020-01-18 17:35:00,Brasil,MATO GROSSO,RONDOLÂNDIA,Amazônia,2020,1,18
146049,1413164876,e95a73df-48e2-3bbe-9beb-aec292ddee1f,-12.112,-63.802,2020-01-18 17:35:00,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,2020,1,18
146053,1413164864,2036f61d-6bf0-38c5-8ee9-61cb05610a67,-8.684,-64.038,2020-01-18 17:35:00,Brasil,AMAZONAS,CANUTAMA,Amazônia,2020,1,18
146098,1413164540,0b3d7b28-9bb8-3854-8d84-2d568ee1ed17,-6.457,-39.432,2020-01-18 15:55:00,Brasil,CEARÁ,JUCÁS,Caatinga,2020,1,18
146099,1413164632,90fca719-da56-37db-9297-519e8ebfcbed,-22.03,-53.949,2020-01-18 17:30:00,Brasil,MATO GROSSO DO SUL,ANGÉLICA,Mata Atlântica,2020,1,18
146104,1413164680,068d5275-7a0e-30fd-ab73-745c0bd22fe3,-28.932,-56.196,2020-01-18 17:30:00,Brasil,RIO GRANDE DO SUL,ITAQUI,Pampa,2020,1,18
