,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
5313,854617320,258244fb-d890-3774-a0f7-4420aac11033,-9.789,-49.991,2019-02-01 16:40:00,Brasil,TOCANTINS,MARIANÓPOLIS DO TOCANTINS,Cerrado,2019,2,1
5314,854617358,64901174-b187-3559-be19-b43e722e62e4,-9.255,-50.533,2019-02-01 16:40:00,Brasil,PARÁ,SANTANA DO ARAGUAIA,Amazônia,2019,2,1
5316,854617322,d0c11234-1b1b-3207-8f9b-ace91e3d07b9,-9.507,-45.012,2019-02-01 16:40:00,Brasil,PIAUÍ,MONTE ALEGRE DO PIAUÍ,Cerrado,2019,2,1
5317,854617362,df4d7b63-245c-3703-b8fa-b7637eaa258a,-4.429,-47.015,2019-02-01 16:40:00,Brasil,MARANHÃO,AÇAILÂNDIA,Amazônia,2019,2,1
5321,854617575,98ea2c8f-89b5-31bf-819f-8aec87d656ac,-11.486,-52.02,2019-02-01 16:35:00,Brasil,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Amazônia,2019,2,1
5324,856881398,54cf4188-d8e5-310d-8613-58f0dd887400,-17.572,-57.217,2019-02-02 17:20:00,Brasil,MATO GROSSO,POCONÉ,Pantanal,2019,2,2
5327,856881577,a6531103-6189-3a95-961e-37e537c909cb,2.022,-61.422,2019-02-02 17:25:00,Brasil,RORAIMA,CARACARAÍ,Amazônia,2019,2,2
5337,856881594,8630bd06-d6b6-3916-81a0-7088216ffdf2,-21.178,-41.6,2019-02-02 17:15:00,Brasil,RIO DE JANEIRO,BOM JESUS DO ITABAPOANA,Mata Atlântica,2019,2,2
5338,856881601,80c03f7d-4a4d-319d-b3d4-cc97878be096,-20.279,-44.973,2019-02-02 17:20:00,Brasil,MINAS GERAIS,SÃO SEBASTIÃO DO OESTE,Cerrado,2019,2,2
5339,831193307,707f2aec-ed08-3aff-83f9-cc195bb3b101,2.86,-60.951,2019-01-20 17:55:00,Brasil,RORAIMA,BOA VISTA,Amazônia,2019,1,20
5343,831080937,dac631f3-d749-3e63-9d06-b3a2caf67188,-14.803,-40.52,2019-01-20 16:10:00,Brasil,BAHIA,BARRA DO CHOÇA,Mata Atlântica,2019,1,20
5345,831080935,6746404c-4624-344b-bb64-ae0d84520dca,-15.988,-40.732,2019-01-20 16:10:00,Brasil,MINAS GERAIS,ALMENARA,Mata Atlântica,2019,1,20
5356,831080922,17a0e8ed-0871-34d8-9398-20c1d2172494,-18.606,-40.29,2019-01-20 16:10:00,Brasil,ESPÍRITO SANTO,SÃO MATEUS,Mata Atlântica,2019,1,20
5358,831080919,dd8e3990-a265-3418-b527-f8d016a51f56,-21.599,-41.312,2019-01-20 16:10:00,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,Mata Atlântica,2019,1,20
5359,854910704,e75f9628-56e3-3d9c-bcf4-ae3bd1db7f19,-20.378,-57.979,2019-02-01 18:15:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2019,2,1
5365,852622203,e8ee223c-c451-3123-910c-42ded3268702,-15.651,-47.854,2019-01-31 17:30:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2019,1,31
5371,837599537,531f7245-0737-39c4-b24a-4c39d5322a1b,-7.617,-34.847,2019-01-22 16:00:00,Brasil,PERNAMBUCO,GOIANA,Mata Atlântica,2019,1,22
5425,856881394,5cf95e38-9019-3263-97dc-161922e31838,-28.452,-53.227,2019-02-02 17:15:00,Brasil,RIO GRANDE DO SUL,SANTA BÁRBARA DO SUL,Mata Atlântica,2019,2,2
